path,label,label_name,dataset,subject,processed_path,split
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IIITD_Contact_Lens_Iris_DB\Cogent Scanner\82\Colored\20120913125240_L.bmp,1,spoof,IIITD_Cogent,82,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_Cogent\spoof\20120913125240_L.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IRIS CSD\IIITDNewNormal\IIITDNewNormal_104_normal_IIITDNewNormal_2207.jpg,0,live,IIITD_NewNormal,root,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_NewNormal\live\IIITDNewNormal_104_normal_IIITDNewNormal_2207.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IIITD_Contact_Lens_Iris_DB\Vista Scanner\44\Normal\Right\4.bmp,0,live,IIITD_Vista,44,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_Vista\live\4.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IIITD_Contact_Lens_Iris_DB\Cogent Scanner\33\Normal\20120912150113_R.bmp,0,live,IIITD_Cogent,33,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_Cogent\live\20120912150113_R.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IIITD_Contact_Lens_Iris_DB\Cogent Scanner\18\Transparent\20120919144836_L.bmp,1,spoof,IIITD_Cogent,18,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_Cogent\spoof\20120919144836_L.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IRIS CSD\PrintScan\Cogent\70\70_n_l.jpg,0,live,PrintScan_Cogent,70,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\PrintScan_Cogent\live\70_n_l.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\NDCLD15\07014d2967.tiff,1,spoof,NDCLD15,nd1S07014,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\NDCLD15\spoof\07014d2967.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IIITD_Contact_Lens_Iris_DB\Cogent Scanner\2\Transparent\20120913132313_L.bmp,1,spoof,IIITD_Cogent,2,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_Cogent\spoof\20120913132313_L.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IIITD_Contact_Lens_Iris_DB\Vista Scanner\40\Colored\Left\3.bmp,1,spoof,IIITD_Vista,40,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_Vista\spoof\3.png,train
C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Raw\IIITD_Contact_Lens_Iris_DB\Cogent Scanner\54\Colored\20120914141036_R.bmp,1,spoof,IIITD_Cogent,54,C:\Users\sahar\OneDrive\Desktop\EXPLAINABLE_IRIS_PAD\Data\Processed\IIITD_Cogent\spoof\20120914141036_R.png,train
