feature,mi_score
intensity_inner_H0_pers_mean,0.06878684715495775
intensity_inner_H1_death_mean,0.03861299426134024
gabor_middle_H0_pers_std,0.032255160815573
intensity_inner_H0_pers_max,0.03077264213398978
intensity_outer_H0_betti_s2,0.028716785951014456
gabor_inner_H0_landscape_area,0.024061750338880916
intensity_inner_H1_death_std,0.023080078050667696
intensity_outer_H1_betti_s2,0.022724483321952205
gabor_middle_H1_n_bars,0.02180573128990626
intensity_middle_H0_pers_std,0.021012585819015994
gabor_middle_H1_birth_mean,0.018438725694944536
lbp_inner_H0_pers_sum,0.018286495500007716
intensity_middle_H0_amp,0.018032981069927345
gradient_inner_H0_death_std,0.017173208778322735
gabor_inner_H1_birth_mean,0.016994057026454623
gabor_inner_H0_pers_sum,0.016937554457741255
gabor_outer_H0_death_mean,0.0165472193188283
gabor_outer_H1_death_std,0.01564701806759161
gabor_inner_H0_death_std,0.015329456642157568
gabor_outer_H1_betti_s3,0.014314723501064552
gradient_inner_H1_death_std,0.013921419821612435
gabor_middle_H0_pers_mean,0.01388846746153738
intensity_inner_H1_entropy,0.013265724980611848
intensity_outer_H0_amp,0.012393360123055253
intensity_middle_H1_entropy,0.01219163306793547
gradient_outer_H1_pers_std,0.012191293868190733
gabor_outer_H1_entropy,0.012188608835663528
gradient_middle_H1_pers_max,0.011787541720660988
gradient_inner_H1_entropy,0.011333579801084515
gabor_inner_H1_birth_max,0.01042806111217831
gabor_middle_H1_pers_sum,0.010025126996672462
gradient_inner_H1_birth_max,0.00931071441185538
gabor_outer_H1_pers_sum,0.009280634605975946
gradient_inner_H0_pers_max,0.008996211628418349
gradient_inner_H1_death_max,0.008624360416043197
intensity_middle_H1_death_mean,0.008572526173605155
gabor_middle_H1_betti_s1,0.00791462310595481
gabor_outer_H0_betti_s2,0.007754807824860155
gabor_middle_H0_betti_s1,0.007089696644777765
intensity_middle_H1_betti_s1,0.0069759160711664325
gradient_outer_H0_landscape_area,0.006721452646485826
gabor_inner_H1_pers_sum,0.005637859421237845
intensity_outer_H1_pers_max,0.005347745126568881
gradient_inner_H1_pers_std,0.004825201276466462
gabor_inner_H1_death_std,0.00432055457369418
gradient_outer_H0_betti_s2,0.00414718854334617
gabor_outer_H0_betti_s1,0.004116518399818192
gradient_middle_H1_betti_s1,0.004050879210999669
gabor_outer_H1_betti_s2,0.0026827227418608768
intensity_outer_H0_pers_std,0.0017400070964481706
intensity_inner_H0_pers_std,0.0016750240626819402
gradient_outer_H0_death_std,0.001656192143457691
intensity_outer_H0_betti_s1,0.0015188994836439207
gradient_outer_H1_betti_s2,0.0010557615385564656
gradient_middle_H0_pers_sum,0.0007791599989477316
gabor_inner_H1_entropy,0.0007245595043332553
intensity_middle_H1_pers_sum,0.0006397064744871894
intensity_outer_H1_pers_sum,0.0
intensity_middle_H1_n_bars,0.0
intensity_middle_H1_pers_max,0.0
gabor_inner_H1_pers_std,0.0
gabor_outer_H0_pers_std,0.0
gradient_inner_H0_pers_sum,0.0
gradient_outer_H1_entropy,0.0
gabor_middle_H1_death_std,0.0
gabor_middle_H1_betti_s2,0.0
intensity_middle_H0_betti_s1,0.0
gabor_middle_H1_entropy,0.0
gradient_inner_H1_death_mean,0.0
gradient_outer_H0_amp,0.0
intensity_middle_H1_death_max,0.0
gradient_outer_H1_pers_sum,0.0
intensity_outer_H1_birth_std,0.0
intensity_inner_H1_pers_sum,0.0
gradient_outer_H1_betti_s1,0.0
