feature,mi_score
gradient_inner_H0_pers_max,0.03436696891419655
intensity_middle_H1_pers_sum,0.029580164481161964
lbp_inner_H0_amp,0.02931784292486883
gabor_inner_H1_entropy,0.029307820646945926
gradient_inner_H1_entropy,0.028740516477964384
gradient_outer_H1_betti_s1,0.026316196098271183
gradient_inner_H1_pers_std,0.0241612654475305
gradient_inner_H0_death_std,0.023986568336383574
gabor_inner_H0_landscape_area,0.02383165478757432
intensity_middle_H1_betti_s1,0.023082131567924602
gabor_outer_H0_betti_s1,0.023078799180059617
gabor_outer_H1_betti_s2,0.022255416763928393
intensity_middle_H0_amp,0.020752134154111035
gabor_inner_H1_birth_max,0.020624760713629176
intensity_outer_H0_amp,0.020281667809327608
intensity_inner_H1_pers_sum,0.018932623757544453
intensity_outer_H0_betti_s1,0.017739096210258598
intensity_middle_H1_death_mean,0.017539099314800355
intensity_outer_H1_pers_max,0.01712839709159031
intensity_inner_H1_death_mean,0.016196854921963988
intensity_middle_H0_betti_s1,0.015114906496779046
gabor_middle_H0_pers_std,0.014740342052725008
gradient_inner_H1_death_max,0.014718217331865624
intensity_middle_H0_entropy,0.01379903213978051
gabor_middle_H0_pers_mean,0.013357007105622598
gabor_inner_H0_death_std,0.012451435608221928
gabor_outer_H1_death_std,0.01242647172130562
intensity_inner_H0_pers_max,0.01160693164823523
intensity_middle_H1_pers_max,0.0115324977371416
gabor_inner_H0_entropy,0.011516252870870103
gabor_outer_H0_pers_std,0.010745923147966963
intensity_inner_H1_death_std,0.010718962563533552
gabor_inner_H0_pers_sum,0.010470112942625676
gabor_inner_H0_amp,0.010258325014001368
gradient_outer_H0_betti_s2,0.009658801777607362
gabor_middle_H1_n_bars,0.008443543821277988
gabor_inner_H1_death_std,0.008430540938744402
gabor_outer_H0_betti_s2,0.008280100197074924
gradient_outer_H0_death_std,0.007288076847608682
intensity_outer_H1_birth_std,0.007215512732052565
gabor_middle_H1_entropy,0.007180229054811971
gradient_outer_H0_amp,0.006937316913265157
gradient_outer_H0_landscape_area,0.0069293535959651376
gradient_inner_H1_birth_max,0.006694157300670467
gabor_outer_H1_pers_sum,0.0056794986646837575
gabor_inner_H1_pers_std,0.005645891793433888
intensity_outer_H0_pers_std,0.005230458201012533
gabor_inner_H1_pers_sum,0.005008273550007658
gradient_inner_H1_birth_std,0.003573429889818014
gabor_outer_H0_pers_sum,0.0030666491844950627
gabor_inner_H1_birth_mean,0.0029174507579068365
gradient_inner_H1_death_std,0.0026106339226497077
gabor_outer_H0_death_mean,0.0
gradient_middle_H1_pers_max,0.0
intensity_inner_H0_entropy,0.0
intensity_inner_H0_pers_mean,0.0
intensity_middle_H0_pers_std,0.0
intensity_middle_H1_n_bars,0.0
intensity_outer_H1_betti_s2,0.0
gradient_inner_H0_pers_sum,0.0
gradient_middle_H1_betti_s1,0.0
intensity_inner_H1_entropy,0.0
gradient_middle_H0_pers_sum,0.0
gradient_inner_H1_death_mean,0.0
intensity_outer_H0_betti_s2,0.0
gradient_outer_H1_betti_s2,0.0
gabor_outer_H1_entropy,0.0
gabor_middle_H1_death_std,0.0
gabor_middle_H1_betti_s1,0.0
intensity_inner_H1_n_bars,0.0
intensity_middle_H1_death_std,0.0
gradient_outer_H1_pers_std,0.0
gabor_middle_H1_pers_sum,0.0
intensity_middle_H1_entropy,0.0
intensity_outer_H1_pers_sum,0.0
gabor_middle_H1_betti_s2,0.0
gabor_middle_H0_betti_s1,0.0
intensity_outer_H0_betti_s0,0.0
