feature,mi_score
intensity_inner_H0_pers_mean,0.0555744952300814
gabor_middle_H1_birth_mean,0.046110236733540644
lbp_inner_H0_pers_sum,0.044010740633622314
gabor_inner_H1_birth_max,0.042754688216969594
intensity_inner_H0_pers_max,0.03899029388934272
intensity_inner_H1_death_mean,0.029749685852774155
intensity_inner_H1_entropy,0.028004490981682784
gabor_outer_H0_betti_s2,0.026064767798994026
gabor_middle_H0_pers_std,0.02531684104914733
intensity_middle_H0_amp,0.02020316968918512
gabor_inner_H0_landscape_area,0.019209991874848065
intensity_inner_H1_death_std,0.017962430524117945
gradient_outer_H1_betti_s1,0.01602681390827354
gradient_inner_H0_death_std,0.015944759464201264
gradient_outer_H1_betti_s2,0.015698119116321685
gabor_middle_H0_pers_mean,0.015393597405129356
gabor_inner_H1_birth_mean,0.014760398736525238
gradient_inner_H1_birth_max,0.014133050430303218
intensity_middle_H0_betti_s1,0.013355257458552705
intensity_outer_H0_pers_std,0.01286655428658956
gradient_outer_H0_death_std,0.012813481983124486
gradient_middle_H1_pers_max,0.012218297291859193
gradient_outer_H0_landscape_area,0.012112117977955306
gabor_inner_H0_pers_sum,0.011664436078541174
gradient_inner_H1_entropy,0.011263848890901151
gabor_middle_H1_betti_s2,0.010924663580953009
intensity_middle_H1_betti_s1,0.01029865546943709
gabor_outer_H1_entropy,0.009994811543577953
gabor_inner_H0_death_std,0.00998525235231651
intensity_middle_H0_pers_std,0.008909882527945445
gabor_outer_H1_betti_s2,0.007690747809945275
gradient_inner_H0_pers_max,0.007671792566003699
gradient_outer_H1_pers_std,0.0075359134567341
gabor_middle_H1_n_bars,0.00750813509285897
gradient_outer_H0_amp,0.00641715451078495
gabor_inner_H1_pers_sum,0.005648651831726026
intensity_outer_H1_betti_s2,0.0053220763184822495
intensity_outer_H1_pers_max,0.0051364420858019955
intensity_outer_H0_amp,0.004940845073888811
gradient_outer_H1_entropy,0.004783261054928767
intensity_middle_H1_death_mean,0.004076190929111823
gabor_middle_H1_pers_sum,0.0033164525324429484
gradient_middle_H0_pers_sum,0.002235657152031889
intensity_middle_H1_entropy,0.0020142158311058367
gabor_outer_H0_death_mean,0.001680720676056513
gradient_inner_H1_pers_std,0.001627843374724769
gabor_inner_H1_death_std,0.0007473925218028921
intensity_outer_H0_betti_s1,0.0001346252927523217
intensity_outer_H1_pers_sum,0.0
gradient_inner_H1_death_max,0.0
intensity_middle_H1_n_bars,0.0
intensity_middle_H1_pers_max,0.0
gabor_inner_H1_pers_std,0.0
intensity_inner_H0_pers_std,0.0
gradient_middle_H1_betti_s1,0.0
gabor_middle_H1_entropy,0.0
gabor_outer_H0_betti_s1,0.0
gabor_outer_H0_pers_std,0.0
gradient_outer_H1_pers_sum,0.0
gradient_inner_H0_pers_sum,0.0
gabor_inner_H1_entropy,0.0
intensity_outer_H1_birth_std,0.0
gradient_inner_H1_death_mean,0.0
gabor_outer_H1_betti_s3,0.0
gradient_outer_H0_betti_s2,0.0
intensity_middle_H1_pers_sum,0.0
gabor_outer_H1_pers_sum,0.0
intensity_outer_H0_betti_s2,0.0
gabor_outer_H1_death_std,0.0
gradient_inner_H1_death_std,0.0
gabor_middle_H1_betti_s1,0.0
intensity_middle_H1_death_max,0.0
gabor_middle_H1_death_std,0.0
intensity_inner_H1_pers_sum,0.0
gabor_middle_H0_betti_s1,0.0
