feature,mi_score
intensity_inner_H0_pers_mean,0.031648454576250984
gradient_inner_H0_pers_max,0.024353177466553744
intensity_middle_H1_betti_s1,0.018819007949677946
intensity_inner_H0_pers_max,0.01842605176755585
lbp_inner_H0_amp,0.017635072257381257
intensity_middle_H1_pers_max,0.017250625447522205
gabor_inner_H0_landscape_area,0.01631410512723397
gabor_outer_H0_betti_s1,0.01378775492188744
intensity_inner_H1_n_bars,0.013625705140862365
intensity_middle_H0_entropy,0.0135670145430149
intensity_outer_H0_amp,0.01355985664507342
gabor_inner_H1_entropy,0.013292223019048421
gradient_inner_H1_entropy,0.013174537321291924
gradient_middle_H1_pers_max,0.01240276817984931
intensity_inner_H1_death_mean,0.012063149344878399
gradient_outer_H0_death_std,0.010853110963846557
intensity_outer_H1_pers_max,0.010270639542499405
intensity_middle_H0_pers_std,0.009737176812250947
gabor_inner_H1_birth_mean,0.009302675693517948
gabor_middle_H0_betti_s1,0.008915293205834951
gabor_outer_H1_pers_sum,0.00876619803390355
gradient_inner_H1_pers_std,0.008520095117920734
gradient_inner_H1_death_max,0.007803612753174205
gradient_inner_H1_birth_max,0.007785756520332976
gabor_inner_H1_birth_max,0.006935338791480783
gradient_inner_H0_death_std,0.0067229042806340455
gabor_middle_H1_n_bars,0.00583616724015501
gradient_outer_H0_landscape_area,0.004908128942209933
gabor_middle_H0_pers_mean,0.0046669880735628055
gabor_outer_H0_pers_std,0.004477388294151563
intensity_outer_H1_birth_std,0.004104206373192865
gabor_middle_H0_pers_std,0.003977222507234979
gabor_outer_H0_betti_s2,0.0034347890539001558
intensity_middle_H1_death_mean,0.0032377145859547873
gabor_middle_H1_betti_s1,0.002595645339990682
gabor_inner_H0_pers_sum,0.002569925546557217
gabor_outer_H1_betti_s2,0.0024492480116311555
gabor_inner_H1_pers_sum,0.002406951989356809
gabor_inner_H0_death_std,0.0017382119749331792
gradient_outer_H1_betti_s1,0.0017257837546909016
gradient_outer_H1_pers_std,0.0016958482880784498
gradient_inner_H1_death_std,0.0011589929484998596
intensity_middle_H1_entropy,0.0010364458468041793
intensity_middle_H1_pers_sum,0.000957143774217073
intensity_inner_H1_death_std,0.0009034068238660264
gabor_outer_H1_death_std,0.0
intensity_outer_H1_pers_sum,0.0
gradient_outer_H1_betti_s2,0.0
gabor_outer_H1_entropy,0.0
gabor_inner_H0_entropy,0.0
gabor_middle_H1_pers_sum,0.0
gabor_inner_H1_death_std,0.0
intensity_outer_H1_betti_s2,0.0
gradient_middle_H1_betti_s1,0.0
intensity_outer_H0_pers_std,0.0
gabor_outer_H0_pers_sum,0.0
intensity_inner_H0_entropy,0.0
gabor_inner_H1_pers_std,0.0
gabor_outer_H0_death_mean,0.0
intensity_middle_H1_n_bars,0.0
gradient_middle_H0_pers_sum,0.0
intensity_outer_H0_betti_s1,0.0
intensity_inner_H1_entropy,0.0
intensity_middle_H1_death_std,0.0
intensity_middle_H0_betti_s1,0.0
intensity_middle_H0_amp,0.0
gradient_inner_H0_pers_sum,0.0
gabor_middle_H1_entropy,0.0
gradient_inner_H1_death_mean,0.0
gradient_outer_H0_amp,0.0
gabor_middle_H1_betti_s2,0.0
gabor_outer_H1_betti_s3,0.0
gradient_outer_H0_betti_s2,0.0
intensity_outer_H0_betti_s2,0.0
intensity_inner_H1_pers_sum,0.0
gabor_middle_H1_death_std,0.0
intensity_outer_H0_betti_s0,0.0
