feature,stability_rho
intensity_outer_H0_betti_s0,1.0
intensity_outer_H0_n_bars,1.0
intensity_outer_H0_betti_s3,1.0
intensity_outer_H0_pers_min,1.0
intensity_outer_H0_betti_s4,1.0
intensity_outer_H0_death_min,1.0
gabor_outer_H0_death_mean,0.8759283992044354
gabor_outer_H0_amp,0.8759283992044354
gabor_outer_H0_pers_mean,0.8759283992044354
gabor_inner_H0_amp,0.8551546756590711
gabor_inner_H0_pers_sum,0.8551546756590711
gabor_inner_H0_death_mean,0.8551546756590711
gabor_inner_H0_pers_mean,0.8551546756590711
gabor_outer_H0_pers_std,0.8520699118879098
gabor_outer_H0_death_std,0.8520699118879098
gabor_outer_H0_entropy,0.8494254380604229
gabor_outer_H0_pers_sum,0.8361946243847154
intensity_outer_H0_pers_std,0.8355643586182866
intensity_outer_H0_death_std,0.8355643586182866
gabor_outer_H0_betti_s1,0.8332859592180385
intensity_outer_H0_entropy,0.8314856457262072
gabor_outer_H0_pers_max,0.8288393737136646
gabor_outer_H0_landscape_area,0.8288393737136646
gabor_outer_H0_death_max,0.8288393737136646
intensity_outer_H0_amp,0.8239842273767991
intensity_outer_H0_death_mean,0.8239842273767991
intensity_outer_H0_pers_mean,0.8239842273767991
intensity_outer_H0_pers_sum,0.8239842273767991
gabor_inner_H1_birth_mean,0.8205380059778441
intensity_outer_H0_landscape_area,0.8170351626518214
intensity_outer_H0_pers_max,0.8170351626518214
intensity_outer_H0_death_max,0.8170351626518214
gabor_inner_H1_death_mean,0.8149988333203702
gabor_inner_H1_death_std,0.8139250436115957
gabor_inner_H0_death_std,0.8053590379180973
gabor_inner_H0_pers_std,0.8053590379180973
gabor_inner_H0_entropy,0.8024314495084939
gabor_inner_H0_landscape_area,0.7831630302914097
gabor_inner_H0_pers_max,0.7831581667779327
gabor_inner_H0_death_max,0.7831581667779327
gabor_middle_H0_pers_mean,0.7808188979877553
gabor_middle_H0_pers_sum,0.7808188979877553
gabor_middle_H0_death_mean,0.7808188979877553
gabor_middle_H0_amp,0.7808188979877553
intensity_inner_H0_pers_mean,0.7766987162855985
intensity_inner_H0_amp,0.7766987162855985
intensity_inner_H0_pers_sum,0.7766987162855985
intensity_inner_H0_death_mean,0.7766987162855985
gabor_middle_H0_pers_std,0.773503261147346
gabor_middle_H0_death_std,0.773503261147346
gabor_middle_H0_entropy,0.7732352581695352
intensity_outer_H0_betti_s1,0.7670134707853016
gabor_inner_H1_birth_std,0.758015089056545
gabor_middle_H0_landscape_area,0.7491851526917117
gabor_middle_H0_death_max,0.7491851526917117
gabor_middle_H0_pers_max,0.7491851526917117
gradient_inner_H1_death_max,0.7476347820818837
intensity_middle_H0_pers_std,0.7460728170393958
intensity_middle_H0_death_std,0.7460728170393958
gabor_inner_H1_death_max,0.7448926050172394
intensity_middle_H1_betti_s1,0.7413571269033498
intensity_middle_H0_amp,0.7347360231487088
intensity_middle_H0_death_mean,0.7347360231487088
intensity_middle_H0_pers_mean,0.7347360231487088
intensity_middle_H0_pers_sum,0.7347360231487088
intensity_middle_H0_entropy,0.7277517225471131
gradient_inner_H0_pers_sum,0.7160368448538317
gradient_inner_H0_death_mean,0.7160368448538317
gradient_inner_H0_amp,0.7160368448538317
gradient_inner_H0_pers_mean,0.7160368448538317
intensity_middle_H0_pers_max,0.7159121845429569
intensity_middle_H0_death_max,0.7159121845429569
intensity_middle_H0_landscape_area,0.7159121845429569
gabor_inner_H1_entropy,0.7123363592928811
gabor_middle_H0_betti_s1,0.7120456590190192
gabor_inner_H1_pers_sum,0.7078198646651629
gabor_middle_H1_betti_s2,0.7059233380455163
intensity_middle_H0_betti_s0,0.7059233380455162
intensity_middle_H0_death_min,0.7059233380455162
intensity_middle_H0_n_bars,0.7059233380455162
gabor_outer_H1_betti_s3,0.7059233380455162
intensity_middle_H0_betti_s2,0.7059233380455162
intensity_middle_H0_betti_s3,0.7059233380455162
intensity_middle_H0_pers_min,0.7059233380455162
intensity_middle_H0_betti_s4,0.7059233380455162
gradient_outer_H0_betti_s2,0.7059233380455162
gradient_inner_H0_pers_max,0.6919502491393206
gradient_inner_H0_landscape_area,0.6919502491393206
gradient_inner_H0_death_max,0.6919502491393206
intensity_middle_H1_entropy,0.6837281173933215
gabor_inner_H1_birth_max,0.6805974814386644
intensity_inner_H0_pers_max,0.6804395449645536
intensity_inner_H0_death_max,0.6804395449645536
intensity_inner_H0_landscape_area,0.6803426162970806
intensity_middle_H1_death_mean,0.680147632767883
gradient_outer_H1_pers_std,0.6789230991455459
gabor_inner_H1_n_bars,0.6778201893954163
intensity_middle_H1_death_std,0.6767058163652767
gradient_outer_H1_pers_max,0.6765635272693901
gradient_outer_H1_landscape_area,0.6750094001173959
intensity_middle_H1_birth_mean,0.6685919475318597
gradient_inner_H1_pers_std,0.6672167468527428
gabor_outer_H1_betti_s2,0.6659027536546025
intensity_inner_H1_death_mean,0.6653332442953012
gabor_outer_H1_death_std,0.6625700285558729
gradient_inner_H1_death_std,0.6590611006788964
gabor_middle_H1_betti_s1,0.6554035863542059
gabor_outer_H0_betti_s2,0.6525073729536724
gabor_middle_H1_death_std,0.6519307992311024
intensity_inner_H1_pers_sum,0.6514881276458626
intensity_outer_H1_birth_std,0.6512369362408329
intensity_inner_H1_birth_mean,0.6488654318381315
intensity_outer_H1_death_std,0.6478120085360967
gradient_inner_H0_death_std,0.6476174179713108
gradient_inner_H0_pers_std,0.6476174179713108
gabor_outer_H1_birth_std,0.6433578150868342
intensity_outer_H1_death_max,0.6429301114183653
gradient_outer_H1_pers_sum,0.6409320103556706
gradient_inner_H1_landscape_area,0.6391517871212862
intensity_middle_H1_death_max,0.6385902691925378
gradient_outer_H1_amp,0.6385257613973488
gradient_outer_H1_pers_mean,0.6385257613973488
gabor_outer_H1_death_max,0.6375416010763956
intensity_outer_H0_betti_s2,0.6368341987383199
intensity_middle_H1_birth_std,0.6348173462835567
gabor_middle_H1_death_max,0.6291441618563131
gradient_outer_H0_amp,0.6275700841120456
gradient_outer_H0_pers_mean,0.6275700841120456
gradient_outer_H0_pers_sum,0.6275700841120456
gradient_outer_H0_death_mean,0.6275700841120456
gradient_inner_H1_pers_max,0.6270704649090394
gradient_inner_H1_death_mean,0.6252945032722586
gradient_inner_H0_entropy,0.6251620573561927
gabor_middle_H1_entropy,0.6246482738697096
gabor_middle_H1_birth_std,0.6203415593506594
intensity_inner_H1_death_std,0.6194471737960654
gabor_middle_H1_birth_mean,0.6130677007522306
gabor_middle_H1_death_mean,0.6129961444016044
intensity_middle_H1_birth_max,0.6107882508798883
gabor_inner_H1_landscape_area,0.6100605550059479
intensity_outer_H1_birth_max,0.6053288444984357
intensity_inner_H0_pers_std,0.6023512041635171
intensity_inner_H0_death_std,0.6023512041635171
gabor_middle_H1_birth_max,0.5996217422950496
intensity_middle_H0_betti_s1,0.5989062387758889
gradient_middle_H0_pers_sum,0.5925630284780942
gradient_middle_H0_death_mean,0.5925630284780942
gradient_middle_H0_amp,0.5925630284780942
gradient_middle_H0_pers_mean,0.5925630284780942
gradient_outer_H1_entropy,0.5901745574950832
gabor_outer_H1_birth_max,0.5875427204514541
intensity_inner_H1_entropy,0.586696296625518
gradient_middle_H1_betti_s1,0.5851542418121608
intensity_outer_H1_death_mean,0.5822734879884195
